# Goxel 0.7.3
# One line per voxel
# X Y Z RRGGBB
-5 -6 1 222034
-4 -6 1 222034
-3 -6 1 222034
-2 -6 1 222034
-1 -6 1 222034
-9 -5 1 595652
-8 -5 1 222034
-7 -5 1 222034
-6 -5 1 222034
-5 -5 1 222034
-4 -5 1 222034
-3 -5 1 222034
-2 -5 1 222034
-1 -5 1 222034
-9 -4 1 595652
-8 -4 1 222034
-7 -4 1 222034
-6 -4 1 222034
-5 -4 1 222034
-4 -4 1 222034
-3 -4 1 222034
-2 -4 1 222034
-1 -4 1 222034
-9 -3 1 595652
-8 -3 1 222034
-7 -3 1 222034
-6 -3 1 222034
-5 -3 1 222034
-4 -3 1 222034
-3 -3 1 222034
-2 -3 1 222034
-1 -3 1 222034
-9 -2 1 595652
-8 -2 1 222034
-7 -2 1 222034
-6 -2 1 222034
-5 -2 1 222034
-4 -2 1 222034
-3 -2 1 222034
-2 -2 1 222034
-1 -2 1 222034
-9 -1 1 fbf236
-8 -1 1 222034
-7 -1 1 222034
-6 -1 1 222034
-5 -1 1 222034
-4 -1 1 222034
-3 -1 1 222034
-2 -1 1 222034
-1 -1 1 222034
-9 -9 2 595652
-8 -9 2 595652
-7 -9 2 595652
-6 -9 2 595652
-5 -9 2 595652
-4 -9 2 595652
-3 -9 2 595652
-2 -9 2 595652
-1 -9 2 595652
-9 -8 2 595652
-8 -8 2 595652
-9 -7 2 595652
-8 -7 2 595652
-9 -6 2 595652
-8 -6 2 595652
-9 -5 2 595652
-8 -5 2 595652
-9 -4 2 595652
-8 -4 2 595652
-9 -3 2 595652
-8 -3 2 595652
-4 -3 2 306082
-3 -3 2 306082
-2 -3 2 306082
-1 -3 2 306082
-9 -2 2 595652
-8 -2 2 595652
-4 -2 2 306082
-3 -2 2 306082
-2 -2 2 306082
-1 -2 2 306082
-9 -1 2 595652
-8 -1 2 595652
-4 -1 2 306082
-3 -1 2 306082
-2 -1 2 306082
-1 -1 2 306082
-9 -9 3 595652
-8 -9 3 595652
-7 -9 3 595652
-6 -9 3 595652
-5 -9 3 595652
-4 -9 3 595652
-3 -9 3 595652
-2 -9 3 595652
-1 -9 3 fbf236
-9 -8 3 595652
-8 -8 3 595652
-9 -7 3 595652
-8 -7 3 595652
-9 -6 3 595652
-8 -6 3 595652
-9 -5 3 595652
-8 -5 3 595652
-9 -4 3 595652
-8 -4 3 595652
-9 -3 3 595652
-8 -3 3 595652
-9 -2 3 595652
-8 -2 3 595652
-9 -1 3 fbf236
-8 -1 3 595652
-3 -1 3 306082
-2 -1 3 306082
-1 -1 3 306082
-9 -9 4 595652
-8 -9 4 595652
-7 -9 4 595652
-6 -9 4 595652
-5 -9 4 595652
-4 -9 4 595652
-3 -9 4 595652
-2 -9 4 595652
-1 -9 4 fbf236
-9 -8 4 595652
-8 -8 4 595652
-9 -7 4 595652
-8 -7 4 595652
-9 -6 4 595652
-8 -6 4 595652
-9 -5 4 595652
-8 -5 4 595652
-9 -4 4 595652
-8 -4 4 595652
-9 -3 4 595652
-8 -3 4 595652
-9 -2 4 595652
-8 -2 4 595652
-9 -1 4 fbf236
-8 -1 4 595652
-3 -1 4 306082
-2 -1 4 306082
-1 -1 4 306082
-9 -9 5 595652
-8 -9 5 595652
-7 -9 5 595652
-6 -9 5 595652
-5 -9 5 595652
-4 -9 5 595652
-3 -9 5 595652
-2 -9 5 595652
-1 -9 5 595652
-9 -8 5 595652
-8 -8 5 595652
-9 -7 5 595652
-8 -7 5 595652
-9 -6 5 595652
-8 -6 5 595652
-9 -5 5 595652
-8 -5 5 595652
-9 -4 5 595652
-8 -4 5 595652
-9 -3 5 595652
-8 -3 5 595652
-9 -2 5 595652
-8 -2 5 595652
-9 -1 5 595652
-8 -1 5 595652
-3 -1 5 306082
-2 -1 5 306082
-1 -1 5 306082
-3 -1 6 306082
-2 -1 6 306082
-1 -1 6 306082
-3 -1 7 306082
-2 -1 7 306082
-1 -1 7 306082
-3 -1 8 306082
-2 -1 8 306082
-1 -1 8 306082
-3 -1 9 306082
-2 -1 9 306082
-1 -1 9 306082
-3 -1 10 306082
-2 -1 10 306082
-1 -1 10 306082
-3 -1 11 306082
-2 -1 11 306082
-1 -1 11 306082
-3 -1 12 306082
-2 -1 12 306082
-1 -1 12 306082
-3 -1 13 306082
-2 -1 13 306082
-1 -1 13 306082
-3 -1 14 306082
-2 -1 14 306082
-1 -1 14 306082
-3 -1 15 306082
-2 -1 15 306082
-1 -1 15 306082
0 -9 0 595652
1 -9 0 595652
2 -9 0 595652
3 -9 0 595652
4 -9 0 595652
5 -9 0 595652
6 -9 0 595652
7 -9 0 595652
8 -9 0 595652
0 -8 0 595652
1 -8 0 595652
2 -8 0 595652
3 -8 0 595652
4 -8 0 595652
5 -8 0 595652
6 -8 0 595652
7 -8 0 595652
8 -8 0 595652
0 -7 0 595652
1 -7 0 595652
2 -7 0 595652
3 -7 0 595652
4 -7 0 595652
5 -7 0 595652
6 -7 0 595652
7 -7 0 595652
8 -7 0 595652
0 -6 0 595652
1 -6 0 595652
2 -6 0 595652
3 -6 0 595652
4 -6 0 595652
5 -6 0 595652
6 -6 0 595652
7 -6 0 595652
8 -6 0 595652
0 -5 0 595652
1 -5 0 595652
2 -5 0 595652
3 -5 0 595652
4 -5 0 595652
5 -5 0 595652
6 -5 0 595652
7 -5 0 595652
8 -5 0 595652
0 -4 0 595652
1 -4 0 595652
2 -4 0 595652
3 -4 0 595652
4 -4 0 595652
5 -4 0 595652
6 -4 0 595652
7 -4 0 595652
8 -4 0 595652
0 -3 0 595652
1 -3 0 595652
2 -3 0 595652
3 -3 0 595652
4 -3 0 595652
5 -3 0 595652
6 -3 0 595652
7 -3 0 595652
8 -3 0 595652
0 -2 0 595652
1 -2 0 595652
2 -2 0 595652
3 -2 0 595652
4 -2 0 595652
5 -2 0 595652
6 -2 0 595652
7 -2 0 595652
8 -2 0 595652
0 -1 0 595652
1 -1 0 595652
2 -1 0 595652
3 -1 0 595652
4 -1 0 595652
5 -1 0 595652
6 -1 0 595652
7 -1 0 595652
8 -1 0 595652
0 -9 1 fbf236
1 -9 1 595652
2 -9 1 595652
3 -9 1 595652
4 -9 1 595652
5 -9 1 595652
6 -9 1 595652
7 -9 1 595652
8 -9 1 595652
0 -8 1 222034
1 -8 1 222034
2 -8 1 222034
3 -8 1 222034
4 -8 1 222034
5 -8 1 222034
6 -8 1 222034
7 -8 1 222034
8 -8 1 595652
0 -7 1 222034
1 -7 1 222034
2 -7 1 222034
3 -7 1 222034
4 -7 1 222034
5 -7 1 222034
6 -7 1 222034
7 -7 1 222034
8 -7 1 595652
0 -6 1 222034
1 -6 1 222034
2 -6 1 222034
3 -6 1 222034
4 -6 1 222034
5 -6 1 222034
6 -6 1 222034
7 -6 1 222034
8 -6 1 595652
0 -5 1 222034
1 -5 1 222034
2 -5 1 222034
3 -5 1 222034
4 -5 1 222034
5 -5 1 222034
6 -5 1 222034
7 -5 1 222034
8 -5 1 595652
0 -4 1 222034
1 -4 1 222034
2 -4 1 222034
3 -4 1 222034
4 -4 1 222034
5 -4 1 222034
6 -4 1 222034
7 -4 1 222034
8 -4 1 595652
0 -3 1 222034
1 -3 1 222034
2 -3 1 222034
3 -3 1 222034
4 -3 1 222034
5 -3 1 222034
6 -3 1 222034
7 -3 1 222034
8 -3 1 595652
0 -2 1 222034
1 -2 1 222034
2 -2 1 222034
3 -2 1 222034
4 -2 1 222034
5 -2 1 222034
6 -2 1 222034
7 -2 1 222034
8 -2 1 595652
0 -1 1 222034
1 -1 1 222034
2 -1 1 222034
3 -1 1 222034
4 -1 1 222034
5 -1 1 222034
6 -1 1 222034
7 -1 1 222034
8 -1 1 fbf236
0 -9 2 595652
1 -9 2 595652
2 -9 2 595652
3 -9 2 595652
4 -9 2 595652
5 -9 2 595652
6 -9 2 595652
7 -9 2 595652
8 -9 2 595652
7 -8 2 595652
8 -8 2 595652
7 -7 2 595652
8 -7 2 595652
7 -6 2 595652
8 -6 2 595652
7 -5 2 595652
8 -5 2 595652
7 -4 2 595652
8 -4 2 595652
0 -3 2 306082
1 -3 2 306082
2 -3 2 306082
3 -3 2 306082
7 -3 2 595652
8 -3 2 595652
0 -2 2 306082
1 -2 2 306082
2 -2 2 306082
3 -2 2 306082
7 -2 2 595652
8 -2 2 595652
0 -1 2 306082
1 -1 2 306082
2 -1 2 306082
3 -1 2 306082
7 -1 2 595652
8 -1 2 595652
0 -9 3 fbf236
1 -9 3 595652
2 -9 3 595652
3 -9 3 595652
4 -9 3 595652
5 -9 3 595652
6 -9 3 595652
7 -9 3 595652
8 -9 3 595652
7 -8 3 595652
8 -8 3 595652
7 -7 3 595652
8 -7 3 595652
7 -6 3 595652
8 -6 3 595652
7 -5 3 595652
8 -5 3 595652
7 -4 3 595652
8 -4 3 595652
7 -3 3 595652
8 -3 3 595652
7 -2 3 595652
8 -2 3 595652
0 -1 3 306082
1 -1 3 306082
2 -1 3 306082
7 -1 3 595652
8 -1 3 fbf236
0 -9 4 fbf236
1 -9 4 595652
2 -9 4 595652
3 -9 4 595652
4 -9 4 595652
5 -9 4 595652
6 -9 4 595652
7 -9 4 595652
8 -9 4 595652
7 -8 4 595652
8 -8 4 595652
7 -7 4 595652
8 -7 4 595652
7 -6 4 595652
8 -6 4 595652
7 -5 4 595652
8 -5 4 595652
7 -4 4 595652
8 -4 4 595652
7 -3 4 595652
8 -3 4 595652
7 -2 4 595652
8 -2 4 595652
0 -1 4 306082
1 -1 4 306082
2 -1 4 306082
7 -1 4 595652
8 -1 4 fbf236
0 -9 5 595652
1 -9 5 595652
2 -9 5 595652
3 -9 5 595652
4 -9 5 595652
5 -9 5 595652
6 -9 5 595652
7 -9 5 595652
8 -9 5 595652
7 -8 5 595652
8 -8 5 595652
7 -7 5 595652
8 -7 5 595652
7 -6 5 595652
8 -6 5 595652
7 -5 5 595652
8 -5 5 595652
7 -4 5 595652
8 -4 5 595652
7 -3 5 595652
8 -3 5 595652
7 -2 5 595652
8 -2 5 595652
0 -1 5 306082
1 -1 5 306082
2 -1 5 306082
7 -1 5 595652
8 -1 5 595652
0 -1 6 306082
1 -1 6 306082
2 -1 6 306082
0 -1 7 306082
1 -1 7 306082
2 -1 7 306082
0 -1 8 306082
1 -1 8 306082
2 -1 8 306082
0 -1 9 306082
1 -1 9 306082
2 -1 9 306082
0 -1 10 306082
1 -1 10 306082
2 -1 10 306082
0 -1 11 306082
1 -1 11 306082
2 -1 11 306082
0 -1 12 306082
1 -1 12 306082
2 -1 12 306082
0 -1 13 306082
1 -1 13 306082
2 -1 13 306082
0 -1 14 306082
1 -1 14 306082
2 -1 14 306082
0 -1 15 306082
1 -1 15 306082
2 -1 15 306082
0 -1 16 306082
1 -1 16 306082
2 -1 16 306082
0 -2 17 696a6a
1 -2 17 696a6a
2 -2 17 696a6a
0 -1 17 306082
1 -1 17 306082
2 -1 17 306082
3 -1 17 696a6a
0 -2 18 696a6a
1 -2 18 696a6a
2 -2 18 696a6a
0 -1 18 306082
1 -1 18 306082
2 -1 18 306082
3 -1 18 696a6a
0 -2 19 696a6a
1 -2 19 696a6a
2 -2 19 696a6a
0 -1 19 306082
1 -1 19 306082
2 -1 19 306082
3 -1 19 696a6a
0 -2 20 696a6a
1 -2 20 696a6a
2 -2 20 696a6a
0 -1 20 306082
1 -1 20 306082
2 -1 20 306082
3 -1 20 696a6a
0 -2 21 696a6a
1 -2 21 696a6a
2 -2 21 696a6a
0 -1 21 306082
1 -1 21 306082
2 -1 21 306082
3 -1 21 696a6a
0 -15 22 fbf236
0 -14 22 fbf236
0 -13 22 fbf236
0 -12 22 fbf236
0 -11 22 fbf236
0 -10 22 fbf236
0 -9 22 fbf236
0 -8 22 fbf236
0 -7 22 fbf236
0 -6 22 fbf236
0 -5 22 fbf236
1 -5 22 fbf236
2 -5 22 fbf236
0 -2 22 696a6a
1 -2 22 696a6a
2 -2 22 696a6a
0 -1 22 306082
1 -1 22 306082
2 -1 22 306082
3 -1 22 696a6a
5 -1 22 fbf236
0 -16 23 5fcde4
0 -15 23 fbf236
1 -15 23 fbf236
0 -14 23 fbf236
1 -14 23 fbf236
0 -13 23 fbf236
1 -13 23 fbf236
0 -12 23 fbf236
1 -12 23 fbf236
0 -11 23 fbf236
1 -11 23 fbf236
0 -10 23 fbf236
1 -10 23 fbf236
0 -9 23 fbf236
1 -9 23 fbf236
0 -8 23 fbf236
1 -8 23 fbf236
0 -7 23 fbf236
1 -7 23 fbf236
0 -6 23 fbf236
1 -6 23 fbf236
0 -5 23 fbf236
1 -5 23 fbf236
2 -5 23 fbf236
3 -5 23 fbf236
4 -5 23 fbf236
5 -5 23 fbf236
0 -4 23 5fcde4
5 -4 23 fbf236
0 -3 23 5fcde4
5 -3 23 fbf236
0 -2 23 696a6a
1 -2 23 696a6a
2 -2 23 696a6a
5 -2 23 fbf236
0 -1 23 306082
1 -1 23 306082
2 -1 23 306082
3 -1 23 696a6a
4 -1 23 696a6a
5 -1 23 696a6a
6 -1 23 fbf236
0 -15 24 fbf236
0 -14 24 fbf236
0 -13 24 fbf236
0 -12 24 fbf236
0 -11 24 fbf236
0 -10 24 fbf236
0 -9 24 fbf236
0 -8 24 fbf236
0 -7 24 fbf236
0 -6 24 fbf236
0 -5 24 fbf236
1 -5 24 fbf236
0 -2 24 696a6a
1 -2 24 696a6a
2 -2 24 696a6a
0 -1 24 306082
1 -1 24 306082
2 -1 24 306082
3 -1 24 696a6a
5 -1 24 fbf236
0 -2 25 696a6a
1 -2 25 696a6a
2 -2 25 696a6a
0 -1 25 306082
1 -1 25 306082
2 -1 25 306082
3 -1 25 696a6a
0 -2 26 696a6a
1 -2 26 696a6a
2 -2 26 696a6a
0 -1 26 696a6a
1 -1 26 696a6a
2 -1 26 696a6a
-3 -1 16 306082
-2 -1 16 306082
-1 -1 16 306082
-3 -2 17 696a6a
-2 -2 17 696a6a
-1 -2 17 696a6a
-4 -1 17 696a6a
-3 -1 17 306082
-2 -1 17 306082
-1 -1 17 306082
-3 -2 18 696a6a
-2 -2 18 696a6a
-1 -2 18 696a6a
-4 -1 18 696a6a
-3 -1 18 306082
-2 -1 18 306082
-1 -1 18 306082
-3 -2 19 696a6a
-2 -2 19 696a6a
-1 -2 19 696a6a
-4 -1 19 696a6a
-3 -1 19 306082
-2 -1 19 306082
-1 -1 19 306082
-3 -2 20 696a6a
-2 -2 20 696a6a
-1 -2 20 696a6a
-4 -1 20 696a6a
-3 -1 20 306082
-2 -1 20 306082
-1 -1 20 306082
-3 -2 21 696a6a
-2 -2 21 696a6a
-1 -2 21 696a6a
-4 -1 21 696a6a
-3 -1 21 306082
-2 -1 21 306082
-1 -1 21 306082
-1 -15 22 fbf236
-1 -14 22 fbf236
-1 -13 22 fbf236
-1 -12 22 fbf236
-1 -11 22 fbf236
-1 -10 22 fbf236
-1 -9 22 fbf236
-1 -8 22 fbf236
-1 -7 22 fbf236
-1 -6 22 fbf236
-3 -5 22 fbf236
-2 -5 22 fbf236
-1 -5 22 fbf236
-3 -2 22 696a6a
-2 -2 22 696a6a
-1 -2 22 696a6a
-6 -1 22 fbf236
-4 -1 22 696a6a
-3 -1 22 306082
-2 -1 22 306082
-1 -1 22 306082
-1 -16 23 5fcde4
-2 -15 23 fbf236
-1 -15 23 fbf236
-2 -14 23 fbf236
-1 -14 23 fbf236
-2 -13 23 fbf236
-1 -13 23 fbf236
-2 -12 23 fbf236
-1 -12 23 fbf236
-2 -11 23 fbf236
-1 -11 23 fbf236
-2 -10 23 fbf236
-1 -10 23 fbf236
-2 -9 23 fbf236
-1 -9 23 fbf236
-2 -8 23 fbf236
-1 -8 23 fbf236
-2 -7 23 fbf236
-1 -7 23 fbf236
-2 -6 23 fbf236
-1 -6 23 fbf236
-6 -5 23 fbf236
-5 -5 23 fbf236
-4 -5 23 fbf236
-3 -5 23 fbf236
-2 -5 23 fbf236
-1 -5 23 fbf236
-6 -4 23 fbf236
-1 -4 23 5fcde4
-6 -3 23 fbf236
-1 -3 23 5fcde4
-6 -2 23 fbf236
-3 -2 23 696a6a
-2 -2 23 696a6a
-1 -2 23 696a6a
-7 -1 23 fbf236
-6 -1 23 696a6a
-5 -1 23 696a6a
-4 -1 23 696a6a
-3 -1 23 306082
-2 -1 23 306082
-1 -1 23 306082
-1 -15 24 fbf236
-1 -14 24 fbf236
-1 -13 24 fbf236
-1 -12 24 fbf236
-1 -11 24 fbf236
-1 -10 24 fbf236
-1 -9 24 fbf236
-1 -8 24 fbf236
-1 -7 24 fbf236
-1 -6 24 fbf236
-2 -5 24 fbf236
-1 -5 24 fbf236
-3 -2 24 696a6a
-2 -2 24 696a6a
-1 -2 24 696a6a
-6 -1 24 fbf236
-4 -1 24 696a6a
-3 -1 24 306082
-2 -1 24 306082
-1 -1 24 306082
-3 -2 25 696a6a
-2 -2 25 696a6a
-1 -2 25 696a6a
-4 -1 25 696a6a
-3 -1 25 306082
-2 -1 25 306082
-1 -1 25 306082
-3 -2 26 696a6a
-2 -2 26 696a6a
-1 -2 26 696a6a
-3 -1 26 696a6a
-2 -1 26 696a6a
-1 -1 26 696a6a
0 0 16 306082
1 0 16 306082
2 0 16 306082
0 5 16 ac3232
1 5 16 ac3232
0 6 16 ac3232
1 6 16 ac3232
2 6 16 ac3232
0 7 16 ac3232
1 7 16 ac3232
2 7 16 ac3232
0 8 16 ac3232
1 8 16 ac3232
2 8 16 ac3232
0 9 16 ac3232
1 9 16 ac3232
2 9 16 ac3232
0 10 16 ac3232
1 10 16 ac3232
0 0 17 306082
1 0 17 306082
2 0 17 306082
3 0 17 696a6a
0 1 17 696a6a
1 1 17 696a6a
2 1 17 696a6a
0 5 17 ac3232
1 5 17 ac3232
0 6 17 ac3232
1 6 17 ac3232
2 6 17 ac3232
0 7 17 ac3232
1 7 17 ac3232
2 7 17 ac3232
0 8 17 ac3232
1 8 17 ac3232
2 8 17 ac3232
0 9 17 ac3232
1 9 17 ac3232
2 9 17 ac3232
0 10 17 ac3232
1 10 17 ac3232
0 0 18 306082
1 0 18 306082
2 0 18 306082
3 0 18 696a6a
0 1 18 696a6a
1 1 18 696a6a
2 1 18 696a6a
0 5 18 ac3232
1 5 18 ac3232
0 6 18 ac3232
1 6 18 ac3232
2 6 18 ac3232
0 7 18 ac3232
1 7 18 ac3232
2 7 18 ac3232
0 8 18 ac3232
1 8 18 ac3232
2 8 18 ac3232
0 9 18 ac3232
1 9 18 ac3232
2 9 18 ac3232
0 10 18 ac3232
1 10 18 ac3232
0 0 19 306082
1 0 19 306082
2 0 19 306082
3 0 19 696a6a
0 1 19 696a6a
1 1 19 696a6a
2 1 19 696a6a
0 5 19 ac3232
1 5 19 ac3232
0 6 19 ac3232
1 6 19 ac3232
2 6 19 ac3232
0 7 19 ac3232
1 7 19 ac3232
2 7 19 ac3232
0 8 19 ac3232
1 8 19 ac3232
2 8 19 ac3232
0 9 19 ac3232
1 9 19 ac3232
2 9 19 ac3232
0 10 19 ac3232
1 10 19 ac3232
0 0 20 306082
1 0 20 306082
2 0 20 306082
3 0 20 696a6a
0 1 20 696a6a
1 1 20 696a6a
2 1 20 696a6a
0 5 20 ac3232
1 5 20 ac3232
0 6 20 ac3232
1 6 20 ac3232
2 6 20 ac3232
0 7 20 ac3232
1 7 20 ac3232
2 7 20 ac3232
0 8 20 ac3232
1 8 20 ac3232
2 8 20 ac3232
0 9 20 ac3232
1 9 20 ac3232
2 9 20 ac3232
0 10 20 ac3232
1 10 20 ac3232
0 0 21 306082
1 0 21 306082
2 0 21 306082
3 0 21 696a6a
0 1 21 696a6a
1 1 21 696a6a
2 1 21 696a6a
0 6 21 ac3232
0 7 21 ac3232
1 7 21 ac3232
0 8 21 ac3232
1 8 21 ac3232
0 9 21 ac3232
0 0 22 306082
1 0 22 306082
2 0 22 306082
3 0 22 696a6a
5 0 22 fbf236
0 1 22 696a6a
1 1 22 696a6a
2 1 22 696a6a
0 7 22 ac3232
0 8 22 ac3232
0 0 23 306082
1 0 23 306082
2 0 23 306082
3 0 23 696a6a
4 0 23 696a6a
5 0 23 696a6a
6 0 23 fbf236
0 1 23 696a6a
1 1 23 696a6a
2 1 23 696a6a
5 1 23 fbf236
0 2 23 5fcde4
0 3 23 5fcde4
0 4 23 5fcde4
0 5 23 5fcde4
0 6 23 5fcde4
0 7 23 ac3232
0 8 23 ac3232
0 0 24 306082
1 0 24 306082
2 0 24 306082
3 0 24 696a6a
5 0 24 fbf236
0 1 24 696a6a
1 1 24 696a6a
2 1 24 696a6a
0 7 24 ac3232
0 8 24 ac3232
0 0 25 306082
1 0 25 306082
2 0 25 306082
3 0 25 696a6a
0 1 25 696a6a
1 1 25 696a6a
2 1 25 696a6a
0 0 26 696a6a
1 0 26 696a6a
2 0 26 696a6a
0 1 26 696a6a
1 1 26 696a6a
2 1 26 696a6a
0 0 0 595652
1 0 0 595652
2 0 0 595652
3 0 0 595652
4 0 0 595652
5 0 0 595652
6 0 0 595652
7 0 0 595652
8 0 0 595652
0 1 0 595652
1 1 0 595652
2 1 0 595652
3 1 0 595652
4 1 0 595652
5 1 0 595652
6 1 0 595652
7 1 0 595652
8 1 0 595652
0 2 0 595652
1 2 0 595652
2 2 0 595652
3 2 0 595652
4 2 0 595652
5 2 0 595652
6 2 0 595652
7 2 0 595652
8 2 0 595652
0 3 0 595652
1 3 0 595652
2 3 0 595652
3 3 0 595652
4 3 0 595652
5 3 0 595652
6 3 0 595652
7 3 0 595652
8 3 0 595652
0 4 0 595652
1 4 0 595652
2 4 0 595652
3 4 0 595652
4 4 0 595652
5 4 0 595652
6 4 0 595652
7 4 0 595652
8 4 0 595652
0 5 0 595652
1 5 0 595652
2 5 0 595652
3 5 0 595652
4 5 0 595652
5 5 0 595652
6 5 0 595652
7 5 0 595652
8 5 0 595652
0 6 0 595652
1 6 0 595652
2 6 0 595652
3 6 0 595652
4 6 0 595652
5 6 0 595652
6 6 0 595652
7 6 0 595652
8 6 0 595652
0 7 0 595652
1 7 0 595652
2 7 0 595652
3 7 0 595652
4 7 0 595652
5 7 0 595652
6 7 0 595652
7 7 0 595652
8 7 0 595652
0 8 0 595652
1 8 0 595652
2 8 0 595652
3 8 0 595652
4 8 0 595652
5 8 0 595652
6 8 0 595652
7 8 0 595652
8 8 0 595652
0 0 1 222034
1 0 1 222034
2 0 1 222034
3 0 1 222034
4 0 1 222034
5 0 1 222034
6 0 1 222034
7 0 1 222034
8 0 1 fbf236
0 1 1 222034
1 1 1 222034
2 1 1 222034
3 1 1 222034
4 1 1 222034
5 1 1 222034
6 1 1 222034
7 1 1 222034
8 1 1 595652
0 2 1 222034
1 2 1 222034
2 2 1 222034
3 2 1 222034
4 2 1 222034
5 2 1 222034
6 2 1 222034
7 2 1 222034
8 2 1 595652
0 3 1 222034
1 3 1 222034
2 3 1 222034
3 3 1 222034
4 3 1 222034
5 3 1 222034
6 3 1 222034
7 3 1 222034
8 3 1 595652
0 4 1 222034
1 4 1 222034
2 4 1 222034
3 4 1 222034
4 4 1 222034
5 4 1 222034
6 4 1 222034
7 4 1 222034
8 4 1 595652
0 5 1 222034
1 5 1 222034
2 5 1 222034
3 5 1 222034
4 5 1 222034
5 5 1 222034
6 5 1 222034
7 5 1 222034
8 5 1 595652
0 6 1 222034
1 6 1 222034
2 6 1 222034
3 6 1 222034
4 6 1 222034
5 6 1 222034
6 6 1 222034
7 6 1 222034
8 6 1 595652
0 7 1 222034
1 7 1 222034
2 7 1 222034
3 7 1 222034
4 7 1 222034
5 7 1 222034
6 7 1 222034
7 7 1 222034
8 7 1 595652
0 8 1 fbf236
1 8 1 595652
2 8 1 595652
3 8 1 595652
4 8 1 595652
5 8 1 595652
6 8 1 595652
7 8 1 595652
8 8 1 595652
0 0 2 306082
1 0 2 306082
2 0 2 306082
3 0 2 306082
7 0 2 595652
8 0 2 595652
0 1 2 306082
1 1 2 306082
2 1 2 306082
3 1 2 306082
7 1 2 595652
8 1 2 595652
0 2 2 306082
1 2 2 306082
2 2 2 306082
3 2 2 306082
7 2 2 595652
8 2 2 595652
7 3 2 595652
8 3 2 595652
7 4 2 595652
8 4 2 595652
7 5 2 595652
8 5 2 595652
7 6 2 595652
8 6 2 595652
0 7 2 595652
1 7 2 595652
2 7 2 595652
3 7 2 595652
4 7 2 595652
5 7 2 595652
6 7 2 595652
7 7 2 595652
8 7 2 595652
0 8 2 595652
1 8 2 595652
2 8 2 595652
3 8 2 595652
4 8 2 595652
5 8 2 595652
6 8 2 595652
7 8 2 595652
8 8 2 595652
0 0 3 306082
1 0 3 306082
2 0 3 306082
7 0 3 595652
8 0 3 fbf236
7 1 3 595652
8 1 3 595652
7 2 3 595652
8 2 3 595652
7 3 3 595652
8 3 3 595652
7 4 3 595652
8 4 3 595652
7 5 3 595652
8 5 3 595652
7 6 3 595652
8 6 3 595652
0 7 3 595652
1 7 3 595652
2 7 3 595652
3 7 3 595652
4 7 3 595652
5 7 3 595652
6 7 3 595652
7 7 3 595652
8 7 3 595652
0 8 3 fbf236
1 8 3 595652
2 8 3 595652
3 8 3 595652
4 8 3 595652
5 8 3 595652
6 8 3 595652
7 8 3 595652
8 8 3 595652
0 0 4 306082
1 0 4 306082
2 0 4 306082
7 0 4 595652
8 0 4 fbf236
